Come un tuono,Rose Villain feat. Guè
Tuta gold,Mahmood
Sesso e samba,Tony Effe & Gaia
Sinceramente,Annalisa
100 messaggi,Lazza
L'ultima poesia,Geolier & Ultimo
30ºc,Anna
I p' me, tu p' te,Geolier
Storie brevi,Tananai & Annalisa
Paprika,Ghali
Casa mia,Ghali
La noia,Angelina Mango
Malavita,Coma_Cose
Click boom!,Rose Villain
Un ragazzo, una ragazza,Kolors
Mezzo rotto,Alessandra Amoroso feat. Bigmama
Ra ta ta,Mahmood
Black Nirvana,Elodie
Beautiful things,Benson Boone
Si antes te hubiera conocido,Karol G
Karma,Kolors
Miu Miu,Tony Effe
Vai!,Alfa
Gata only,Floyymenor & Cris Mj
Anche stasera,Sfera Ebbasta feat. Elodie
Apnea,Emma
Altrove,Ultimo
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier
Sexy shop,Fedez & Emis Killa
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang
Devastante,Olly & Jvli
Dopo le 4,Tony Effe, Bresh & Tedua
Tt le girlz,Anna feat. Niky Savage
Rossofuoco,Mida
Ma non tutta la vita,Ricchi e Poveri
Tu no,Irama
BBE,ANNA feat. Lazza
Ma che idea,Bnkr44 & Pino D'Angiò
Che t'o dico a fa',Angelina Mango
I like the way you kiss me,Artemas
El pibe de oro,Geolier
Cenere,Lazza
15 Piani,Sfera Ebbasta feat. Marracash
Petit fou fou,Rhove & Anna
Vetri neri,Ava & Anna & Capo Plaza
Veleno,Tananai
Melodrama,Angelina Mango
Episodio d'amore,Geolier feat. Takagi e Ketra & Dat Boi Dee
Rossetto e caffè,Sal Da Vinci
Moneylove,Massimo Pericolo feat. Emis Killa
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo
Italodisco,Kolors
Beatrice,Tedua feat. Annalisa
Alè,Rhove & Capo Plaza
Peyote,Articolo 31 feat. Fabri Fibra & Rocco Hunt
Lose control,Teddy Swims
Espresso,Sabrina Carpenter
Galassie,Irama
I love it,Anna feat. Artie 5Ive
Per due come noi,Olly & Angelina Mango & Jvli
Euforia,Annalisa
Femme fatale,Emma
Mwaki,Zerb & Sofiya Nzau
Houdini,Dua Lipa
Pazza,Loredana Bertè
Eva,Kid Yugi & Tedua & Junior K
Tutto qui,Gazzelle
Bellissimissima,Alfa
Due altalene,Mr. Rain
Training season,Dua Lipa
Nightmares,Bresh & Pinguini Tattici Nucleari
Birds of a feather,Billie Eilish
2minuti,Calcutta
Texas hold 'em,Beyoncè
Onda alta,Dargen D'Amico
Io t'o giur',Geolier feat. Sfera Ebbasta
Die with a smile,Lady Gaga & Bruno Mars
Houdini,Eminem
Greedy,Tate Mcrae
Diamanti grezzi,Clara
Stargazing,Myles Smith
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra
Ci pensiamo domani,Angelina Mango
00,Artie 5ive
Due vite,Marco Mengoni
Romantico ma muori,Pinguini Tattici Nucleari
Tango,Tananai
Torcida,Bresh
Mammamì,Petit
Luna piena,Negramaro
Passione,Fred De Palma
Come vuoi,Geolier
Hello Kitty,Anna feat. Sillyelly
Bruciasse il cielo,Blanco
Lonely dancers,Conan Gray
Ho voglia di te,Jvli & Emma & Olly
Soli a Milano,Club Dogo & Elodie
Soldi arrotolati,Capo Plaza feat. Anna
Nato per questo,Club Dogo & Marracash
Yes and?,Ariana Grande